block,criterion,tier,rating,rationale
Robust,"4.1.2 Name, role, value",clinician,Deferred,"PNG and MP3 carry no programmatic semantics; assistive-technology exposure is a property of the host app. Noted for deployment: this tier ships no accessible string, so an implementer has to author one."
Robust,"4.1.2 Name, role, value",ASHA,Deferred,Same — but the .txt sibling hands a deployment a ready accessible name/value for the card.
Robust,"4.1.2 Name, role, value",mother,Deferred,Same — the Hindi transcript is the ready accessible string; the lamp itself has no role or state exposed and would need one in an app.
Nielsen,1. Visibility of system status,clinician,Pass,"Shows true class, predicted class, all three probabilities to three decimals, the base value and f(x). On boundary_mid the reader sees 0.487 vs 0.499 and knows immediately that the call is a coin flip."
Nielsen,1. Visibility of system status,ASHA,Pass,"Since banding was unified, the card inherits the mother tier's uncertainty rule and states the result of it in words: confident_high (margin 1.000) heads 'HIGH — needs follow-up' while boundary_mid (margin 0.012) heads 'ELEVATED — needs follow-up', so the person making the referral can tell a confident call from a knife-edge one. The margin itself is still not printed — deliberately, since the card is the tier that must not turn into a probability read-out."
Nielsen,1. Visibility of system status,mother,Pass,"Status is exactly one lamp, and model uncertainty is what chooses it (see error prevention). By design the tier reports an action, not a state — which is the right 'status' for it."
Nielsen,2. Match between system and the real world,clinician,Pass,"Raw clinical units on the axis (BS = 9, BodyTemp = 102, SystolicBP = 85), not model-space values — the final model uses no scaler, so the waterfall reads in the clinician's own units."
Nielsen,2. Match between system and the real world,ASHA,Pass,"Phrasing matches field speech, and a deadband of 0.25 IQR around the clean-set median now gates the direction word: a reading inside it is named plainly ('blood sugar'), only a reading outside it is called 'raised' or 'low'. BS 7.7 against a 7.5 median no longer reads as a concern; BS 9.0 on boundary_mid and 15.0 on confident_high still do. BodyTemp's IQR is 0 on the clean set, so 102F is flagged as raised, which is the right behaviour. Age carries its own direction pair — failure_mode reads 'young age' for a 13-year-old, not 'low age', which is not something a health worker would say."
Nielsen,2. Match between system and the real world,mother,Pass,"A traffic light is a near-universal metaphor, and the sentence names the real institutions in her world — her ANM, the nearest health centre — and opens by telling her not to panic, which is how the news would be delivered in person."
Nielsen,4. Consistency and standards,clinician,Pass,"Layout, palette and label conventions are identical across all four rendered cases; the figure is generated by one code path with no per-case special-casing."
Nielsen,4. Consistency and standards,ASHA,Pass,"The heading now follows the band rather than being fixed text: an elevated card reads 'What the model flagged for follow-up:' and lists drivers, while the routine card reads 'No specific risk factors flagged.' and lists none. The next step follows too — routine cards say continue antenatal care and share the readings at the next scheduled visit, not arrange a check-up. No sentence now means opposite things on different cards."
Nielsen,4. Consistency and standards,mother,Pass,"One image and one sentence per band, fixed; nothing varies between cases that share a band."
Nielsen,5. Error prevention,clinician,Pass,"The tier surfaces its own failure rather than hiding it: on failure_mode the waterfall shows BodyTemp +0.216 driving a high-risk call in a 13-year-old while blood sugar argues against it, and true vs predicted are both printed in the title. A reader can catch the spurious flag from the figure alone."
Nielsen,5. Error prevention,ASHA,Pass,"Strong on accountability — nothing is a diagnosis, the footer returns the referral decision to the human, the next step carries no medical timeframe — and the sign defect is closed: top_drivers() keeps only positive contributions to the predicted class and ranks by signed value. Verified on failure_mode, where BS (-0.085, arguing AGAINST high risk) is no longer listed despite its magnitude; the card now shows BodyTemp (+0.216) and Age (+0.056), the two features actually driving the call."
Nielsen,5. Error prevention,mother,Pass,"The uncertainty-aware down-ranking is a genuine control, not a cosmetic one: RED requires predicted-high AND a top-2 margin >= 0.15, so boundary_mid (0.012) and failure_mode (0.002) both light AMBER. failure_mode is a true-low case, so the rule demonstrably suppressed a false red alarm to a mother. This is the strongest single design decision in the three tiers."
Nielsen,6. Recognition rather than recall,clinician,Partial,The waterfall assumes recalled SHAP conventions: nothing on the figure states that red pushes toward the predicted class or what 'base E[f(x)]' is. One legend line would close it.
Nielsen,6. Recognition rather than recall,ASHA,Pass,"Everything needed to act is on the card — band, the two drivers, the next step, who decides. Nothing has to be remembered from a previous screen or a training session."
Nielsen,6. Recognition rather than recall,mother,Partial,"The lamp requires recalling the traffic-light convention, and nothing on the image explains it. Recognition is restored only by the audio, which is a separate channel and may not be co-present with the picture."
Nielsen,8. Aesthetic and minimalist design,clinician,Partial,"Three panels, no chrome, every element carrying data — but the raw-value table repeats the values already printed on the waterfall's y-axis labels ('BS = 9' and 'BS | 9'). Minor, and the only redundancy in the tier."
Nielsen,8. Aesthetic and minimalist design,ASHA,Pass,"Five elements: band, two drivers, action, accountability line, disclaimer. Nothing on the card can be removed without losing something the ASHA needs."
Nielsen,8. Aesthetic and minimalist design,mother,Pass,Three circles on a housing. There is nothing left to strip — though see help and documentation for what that minimalism costs.
Nielsen,10. Help and documentation,clinician,Partial,"The disclaimer is present on the figure, but there is no legend, no method note and no pointer to how the case was selected; the reader has to go to the repository."
Nielsen,10. Help and documentation,ASHA,Pass,"The card carries both the accountability line and the full disclaimer, so the person acting on it is told what it is and who decides."
Nielsen,10. Help and documentation,mother,Partial,"`tier_mother_<case>_hi.txt` now carries a provenance block — case, band and the full disclaimer — under a '(written, not spoken)' rule, so the artifact set is self-describing and a deployment inherits the text it must show. The gap that remains is real and deliberate: neither the image nor the audio carries it, so a mother handed lamp plus voice still has no route to help beyond 'go to the ANM'. A one-time spoken IVR framing at call setup is the deployment answer; appending it to every message was rejected as it would bury the one action the tier exists to deliver."
